respid,sp_age,sp_totinc,sp_retinc,sp_hlth,sp_atr_w,sp_atr_r
4352,64,7407.1188052052,7407.1188052052,1,0.09012669257867409,0.09012669257867409
4369,0,0.0,0.0,0,0.0,0.0
4389,60,42872.699995143856,42872.699995143856,1,0.22153277042770578,0.22153277042770578
4392,63,43609.524331930435,37998.44834783006,1,0.1925788992936382,0.1060224086844329
4394,0,0.0,0.0,0,0.0,0.0
4412,70,71781.34667698269,71781.34667698269,1,0.21420350121763337,0.21420350121763337
4503,64,27368.205900809644,31933.33112262836,1,0.06859903328257616,0.02602562331485682
4537,62,8549.51049682621,8549.51049682621,1,1.8920620655713776e-05,1.8920620655713776e-05
4542,0,0.0,0.0,0,0.0,0.0
4547,0,0.0,0.0,0,0.0,0.0
4551,70,50084.40153900564,50084.40153900564,1,0.14460132374943782,0.14460132374943782
4585,62,35856.69527511124,35856.69527511124,1,0.07802694886678473,0.07802694886678473
4587,65,0.0,0.0,1,0.0,0.0
4589,62,32327.52040952287,32327.52040952287,1,0.11483976491070728,0.11483976491070728
4620,60,50967.22831431494,53492.226997968755,1,0.11659605573090702,0.10082506987091976
4622,67,4941.030711240262,4941.030711240262,1,0.28163606236409333,0.28163606236409333
4654,60,33700.916506137895,33700.916506137895,1,0.1665720076027697,0.1665720076027697
4670,63,0.0,0.0,1,0.0,0.0
4673,0,0.0,0.0,0,0.0,0.0
4697,67,18527.93049928511,18527.93049928511,1,0.03548944337554451,0.03548944337554451
4701,60,33231.073937943715,30548.250316288548,1,0.14572604443016365,0.11464426030758504
4722,70,18000.0,18000.0,2,0.0,0.0
4727,65,29314.331861590206,46307.19311750703,1,0.19190892109164115,0.09889514227224983
4736,70,14000.0,14000.0,1,0.0,0.0
4738,61,17442.66268478613,17442.66268478613,1,0.009361301626280509,0.009361301626280509
4746,63,3726.476864099366,3726.476864099366,1,0.23592570659791692,0.23592570659791692
4775,70,22238.148706651045,22238.148706651045,1,0.007861689008821825,0.007861689008821825
4815,64,6060.806678181096,6060.806678181096,1,0.07738704801786357,0.07738704801786357
4816,70,16000.0,11999.382793666975,1,0.0,1.714443867206218e-05
4826,61,33938.20354465007,33938.20354465007,1,0.10173303702186029,0.10173303702186029
4868,69,2445.437246936422,2445.437246936422,1,0.1747222849795053,0.1747222849795053
4893,0,0.0,0.0,0,0.0,0.0
4901,65,20999.238570600715,20999.238570600715,1,0.04869899606090727,0.04869899606090727
4904,69,28071.095657502137,28071.095657502137,1,0.15426265884307777,0.15426265884307777
4919,60,12400.429895685724,12400.429895685724,2,0.04361447654005866,0.04361447654005866
